         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
  generated0-99,       9.88,  0.1342122,      15.42,  0.3060373,       4.35,  0.1702816,       3.56,  0.1121542,       0.00,  0.0754915,       8.30,  0.1971791,       0.00,  0.1375124,  0.2553869, -0.0371819,   253
  generated0-98,      10.94,  0.1473055,      17.19,  0.2743416,       0.39,  0.0367995,       1.56,  0.0665945,       0.00,  0.0316484,       8.98,  0.2315342,       1.17,  0.1252374,  0.2417582, -0.0801360,   256
  generated0-97,       3.91,  0.1078935,      17.97,  0.3168253,       0.00,  0.0843790,       1.17,  0.1021235,       0.00,  0.0784416,       9.38,  0.2222061,       0.00,  0.1379150,  0.2810160, -0.0118736,   256
  generated0-96,       1.58,  0.0647482,      18.18,  0.3010929,       8.30,  0.2042100,       2.37,  0.0986972,       0.00,  0.0614010,       9.88,  0.1798570,       0.00,  0.1176327,  0.3249521, -0.0211079,   253
  generated0-95,      18.65,  0.2149142,      28.97,  0.3468262,      16.67,  0.2515344,       4.37,  0.1798274,       0.40,  0.1316049,      13.10,  0.2512972,       7.94,  0.2293341,  0.1795125,  0.0024371,   252
  generated0-94,      15.75,  0.1798429,      16.54,  0.3087998,       0.79,  0.1026807,       3.54,  0.0999531,       1.18,  0.0826960,      10.63,  0.2504974,       3.15,  0.1536316,  0.2111756,  0.0292756,   254
  generated0-93,      15.29,  0.2133653,      43.92,  0.4319750,      26.67,  0.3057903,       3.53,  0.1571942,       0.00,  0.1198548,      22.35,  0.3047965,       1.96,  0.2045309,  0.1808406,  0.0181140,   255
  generated0-92,      10.32,  0.1633633,      17.86,  0.3076101,       0.00,  0.1528515,       1.59,  0.0845500,       0.00,  0.0565325,      10.71,  0.2270915,       1.59,  0.1398580,  0.2314965, -0.0754050,   252
  generated0-91,      16.27,  0.1719268,      25.00,  0.3207037,      17.46,  0.1903653,       2.38,  0.1027353,       0.00,  0.0677063,       9.52,  0.2466368,       3.17,  0.1833457,  0.2195918, -0.0099908,   252
  generated0-90,       3.53,  0.0773338,      13.33,  0.2359950,       0.00,  0.0355590,       1.57,  0.0500647,       0.00,  0.0251816,       9.80,  0.2100609,       1.18,  0.0997727,  0.3104485, -0.0753803,   255
  generated0-89,       8.70,  0.1393337,      15.81,  0.2533770,       0.00,  0.0842713,       0.79,  0.0837818,       0.00,  0.0579885,       7.51,  0.1966440,       0.00,  0.1218542,  0.2526200, -0.0445820,   253
  generated0-88,      15.87,  0.2189982,      34.13,  0.3812660,      20.63,  0.2737612,      16.67,  0.2111238,       8.33,  0.1855411,      26.59,  0.3070113,      17.06,  0.2629504,  0.1751474,  0.0344710,   252
  generated0-87,       1.60,  0.0662629,      10.40,  0.2557723,       0.00,  0.0604904,       0.40,  0.0793192,       0.00,  0.0485587,      11.20,  0.2179057,       0.00,  0.1113031,  0.3225426, -0.0517593,   250
  generated0-86,      14.90,  0.1572925,      15.69,  0.3130136,       0.00,  0.1336610,       3.92,  0.1273498,       0.00,  0.0884274,       8.24,  0.2158124,       0.00,  0.1503159,  0.2369190, -0.0474866,   255
  generated0-85,       6.02,  0.1226755,      22.09,  0.3030725,       7.63,  0.1044747,       4.02,  0.1058097,       1.61,  0.0721509,      15.66,  0.2251782,       3.21,  0.1381478,  0.2701201, -0.0250170,   249
  generated0-84,      26.98,  0.2522932,      25.00,  0.3339612,       8.33,  0.1667571,       2.78,  0.1397064,       0.00,  0.1134075,      16.67,  0.2762305,       1.19,  0.1859331,  0.1400284,  0.0231252,   252
  generated0-83,       4.72,  0.1054363,      32.68,  0.3682078,       0.00,  0.1574247,       9.06,  0.2130469,       1.18,  0.1803620,      13.39,  0.2672055,       0.00,  0.1890431,  0.2891283, -0.0065855,   254
  generated0-82,      15.42,  0.1994396,      28.06,  0.3329401,      13.04,  0.1808734,       6.32,  0.1566786,       0.00,  0.0960970,      13.44,  0.2644035,       0.00,  0.1749264,  0.1935292,  0.0019080,   253
  generated0-81,      15.48,  0.1791822,      18.25,  0.3260633,       0.00,  0.1749913,       3.97,  0.1512201,       0.00,  0.1009215,      16.27,  0.2599839,       1.19,  0.1695619,  0.2124490, -0.0011155,   252
  generated0-80,      21.03,  0.2368859,      33.33,  0.3779610,      24.60,  0.2723851,      10.71,  0.1712902,       3.57,  0.1525649,      22.62,  0.2996145,      11.90,  0.2063861,  0.1539172,  0.0358471,   252
  generated0-79,      12.45,  0.1384378,      18.47,  0.2870606,       6.02,  0.1556661,       4.02,  0.1135619,       0.00,  0.0735097,       9.24,  0.2276277,       2.41,  0.1400329,  0.2508429, -0.0520513,   249
