         SEQ_ID,  PER(VLXT),  RNK(VLXT), PER(VSL2B), RNK(VSL2B),   PER(VL3),   RNK(VL3), PER(IUP_S), RNK(IUP_S), PER(IUP_L), RNK(IUP_L),  PER(PFIT),  RNK(PFIT),   PER(MDP),   RNK(MDP),       dCDF,        dCH,   len(seq)
         P86397,       5.36,  0.1644275,       6.55,  0.2743062,       5.36,  0.1818391,       3.57,  0.1167779,       0.00,  0.1008791,      11.31,  0.2197579,       2.38,  0.1460248,  0.2313973, -0.3192389,   168
     A0A0B4J2F0,      14.81,  0.2116440,      44.44,  0.4225048,      37.04,  0.3787511,      14.81,  0.2141908,       0.00,  0.1584030,      50.00,  0.4596301,      24.07,  0.3075206,  0.1840759, -0.1723024,    54
         P59942,      64.71,  0.5734487,      83.19,  0.7018459,      78.15,  0.6423240,      40.34,  0.4018444,      45.38,  0.4964707,      64.71,  0.6279268,      60.50,  0.5739767, -0.1725767, -0.0732788,   119
         Q8N9F0,      29.80,  0.3278797,      33.11,  0.4062896,      28.81,  0.3175476,      12.91,  0.1979126,      11.92,  0.1991699,      27.15,  0.2981172,      25.50,  0.2911527,  0.0692857, -0.2548639,   302
         Q2M3C7,      52.71,  0.4997353,      67.41,  0.6154925,      62.88,  0.5655796,      33.53,  0.3844432,      40.53,  0.4596227,      43.06,  0.4599507,      52.18,  0.4974703, -0.1000516, -0.0610515,  1700
         Q8N3J2,      17.16,  0.2386887,      27.33,  0.3624929,      14.83,  0.2868192,       2.75,  0.1946301,       1.48,  0.1928047,       8.05,  0.2140787,       6.78,  0.2482524,  0.1566748, -0.1582147,   472
         Q7L4S7,      35.00,  0.3579209,      41.33,  0.4726524,      31.33,  0.4267552,      33.33,  0.3253950,      26.33,  0.3480968,      35.67,  0.4037325,      33.33,  0.3890921,  0.0394092, -0.1009717,   300
         Q9UH62,      20.32,  0.2843723,      31.66,  0.3961891,      23.22,  0.3321608,      17.15,  0.2125779,      10.82,  0.2381130,      25.59,  0.3125620,      20.58,  0.2959957,  0.1153203, -0.1526334,   379
         O95721,      62.40,  0.5614304,      87.60,  0.7281848,      85.66,  0.6625600,      47.67,  0.5015371,      77.13,  0.6319462,      70.16,  0.6299552,      76.74,  0.6192690, -0.1614668,  0.0457086,   258
         P06746,      31.94,  0.3553683,      30.45,  0.4234830,      22.09,  0.3701296,       5.37,  0.2931203,       6.87,  0.3356110,      11.34,  0.2513956,       5.07,  0.2764963,  0.0443993, -0.0435459,   335
         Q9P291,      26.27,  0.3313560,      39.29,  0.4528455,      33.77,  0.4001292,      26.27,  0.2542050,      30.68,  0.3071891,      29.36,  0.3469955,      32.23,  0.3487869,  0.0673541, -0.1492037,   453
         Q7L311,      51.58,  0.5307263,      58.54,  0.6174193,      55.06,  0.5444326,      43.67,  0.3630655,      51.27,  0.4806319,      57.91,  0.5572909,      53.80,  0.5155944, -0.1283714, -0.1897271,   632
         Q8N8R5,      24.94,  0.2800601,      43.38,  0.4657928,      30.91,  0.3310957,      15.32,  0.2778130,      13.51,  0.2841397,      28.05,  0.3319307,      25.97,  0.3284721,  0.1137945, -0.1274143,   385
         Q08AE8,      59.52,  0.5666425,      67.72,  0.6515524,      65.08,  0.6123410,      37.30,  0.3844431,      40.48,  0.4432987,      54.10,  0.5272817,      56.08,  0.5309269, -0.1661886, -0.0372579,   756
         O43521,      44.44,  0.4707555,      71.21,  0.7201223,      66.16,  0.5995824,      42.42,  0.4792401,      49.49,  0.5414460,      73.23,  0.6261128,      66.16,  0.5728765, -0.0669342, -0.0350528,   198
         Q7L3V2,      50.00,  0.5091022,      51.10,  0.5943307,      46.15,  0.5560582,      39.84,  0.4357623,      44.23,  0.5286521,      45.60,  0.4630015,      46.43,  0.5144844, -0.1076365, -0.0692379,   364
